Name,Number,Date,Lawrence M Farnese Jr.,Christine M. Tartaglione,Shirley M. Kitchen,LeAnna M. Washington,Michael J. Stack III,Robert M. Tomlinson,Vincent J. Hughes,Anthony H. Williams,Dominic F. Pileggi,Charles T McIlhinney Jr.,Michael A. O'Pake,Stewart J. Greenleaf Sr,Lloyd K Smucker,Raphael John Musto,Jeffrey E. Piccola,Patrick M. Browne,Daylin Leach,Lisa M. Boscola,Andrew E Dinniman,Lisa Baker,Mary Jo White,Robert J. Mellow,Gene Yaw,Bob Mensch,Robert C Wonderling,Joseph B. Scarnati III,Edwin B Erickson,John R. Gordner,Michael L Waugh,David G. Argall,John H Eichelberger Jr.,Patricia H Vance,Richard A Kasunic,Richard L. Alloway II,Jake Corman,John N Wozniak,Michael W Brubaker,John R. Pippy,James Ferlo,Kim L. Ward,Jane Clare Orie,Donald C. White,Wayne D. Fontana,Jay Costa,John C. Rafferty Jr.,Sean F. Logan,J. Barry Stout,Elder A. Vogel,Michael J Folmer,Jane M Earll,Robert D. Robbins
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),224,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1648 PN 2294, FINAL PASSAGE",223,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 441 PN 1075, FINAL PASSAGE",222,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1036 PN 1316, FINAL PASSAGE",221,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 1036 PN 1316, CONSTITUTIONAL POINT OF ORDER",220,None,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 8, 2009",219,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1770 PN 2515, FINAL PASSAGE",229,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1654 PN 2448, FINAL PASSAGE",228,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 607 PN 657, FINAL PASSAGE",227,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 9, 2009",226,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 13, 2009",230,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 39 PN 2058, FINAL PASSAGE",235,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 862 PN 1370, CONCURRENCE IN HOUSE AMENDMENTS",234,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 563 PN 1355, CONCURRENCE IN HOUSE AMENDMENTS",233,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 240 PN 1312, CONCURRENCE IN HOUSE AMENDMENTS",232,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 14, 2009",231,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),247,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 348 PN 2571, FINAL PASSAGE",246,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 168 PN 1376, FINAL PASSAGE",245,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1425 PN 1747, FINAL PASSAGE",244,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1424 PN 1746, FINAL PASSAGE",243,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1423 PN 1745, FINAL PASSAGE",242,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1422 PN 1744, FINAL PASSAGE",241,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1421 PN 1743, FINAL PASSAGE",240,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1420 PN 1742, FINAL PASSAGE",239,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1419 PN 1741, FINAL PASSAGE",238,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1663 PN 2572, FINAL PASSAGE",237,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 15, 2009",236,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, PA. HOUSING FINANCE MORTGAGE ASST. PROGRAM HEMAP - $9,900,000",255,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, DEPT OF MIL & VETS AFF.  VETS.ASST-$428,000,VETS OUTREACH SERV.$1,678,000 EDU ASST.$6,995,000 DISABLED AMER. VETS $350,000",254,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, DEPARTMENT OF PUBLIC WELFARE HOMELESS ASSISTANCE - $25,623,000",253,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, DEPARTMENT OF PUBLIC WELFARE DOMESTIC VIOLENCE - $12,487,000 RAPE CRISIS - $7,146,000",252,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, DEPARTMENT OF PUBLIC WELFARE - $158,353,000 COMMUNITY MENTAL RETARDATION-BASE SERVICES",251,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
"SB 850 PN 953, GOVERNOR'S ITEM VETO MESSAGE OF SENATE BILL 850, PHEAA - $386,198,000",250,None,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),249,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 16, 2009",248,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 369 PN 1197, FINAL PASSAGE",262,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1828 PN 2609, FINAL PASSAGE",261,None,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,X,Y,X,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N
"SB 1047 PN 1339, FINAL PASSAGE",260,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 222 PN 227, FINAL PASSAGE",259,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 921 PN 1266, CONCURRENCE IN HOUSE AMENDMENTS",258,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),257,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 17, 2009",256,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,X,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),265,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,,,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 974 PN 1350, FINAL PASSAGE",264,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,,,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 18, 2009",263,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,,,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 535 PN 542, FINAL PASSAGE",267,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 19, 2009",266,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1828 PN 2638, CONCUR IN HOUSE AMENDMENTS TO SENATE AMENDMENTS",270,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,,,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N
"SB 1070 PN 1372, FINAL PASSAGE",269,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 20, 2009",268,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 987 PN 1224, FINAL PASSAGE",272,None,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 27, 2009",271,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),277,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS (ATTACHED),276,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 792 PN 2676, FINAL PASSAGE",275,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 28, 2009",273,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y
"HB 1531 PN 2704, FINAL PASSAGE",279,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"APPROVAL OF THE PREVIOUS DAYS JOURNAL OF JULY 29, 2009",278,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOMS  EXECUTIVE NOMINATIONS  PHILADELPHIA SCHOOL REFORM COMMISSION AMBASSADOR DAVID F. GIRARD-DICARLO,299,None,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EXECNOM  EXECUTIVE NOMINATIONS  PHILADELPHIA SCHOOL REFORM COMMISSION JOSEPH A. DWORETZSKY,298,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SB 1097 PN 1419, FINAL PASSAGE-RECONSIDERED",297,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,,,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N
"SB 1108 PN 1430, FINAL PASSAGE",296,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1107 PN 1429, FINAL PASSAGE",295,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1106 PN 1428, FINAL PASSAGE",294,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1105 PN 1427, FINAL PASSAGE",293,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1104 PN 1426, FINAL PASSAGE",292,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1103 PN 1425, FINAL PASSAGE",291,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1102 PN 1424, FINAL PASSAGE",290,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1101 PN 1423, FINAL PASSAGE",289,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1100 PN 1422, FINAL PASSAGE",288,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y
"SB 1099 PN 1421, FINAL PASSAGE",287,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,,,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N
"SB 1098 PN 1420, FINAL PASSAGE",286,None,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,,,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N
